,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,,,,,,
Ashland ,,,,,,,,,,,,,,,
Barron ,,,,,,,,,,,,,,,
Bayfield ,,,,,,,,,,,,,,,
Brown ,,,,,,,,,,TRUE,,,TRUE,,TRUE
Buffalo ,,,,,,,,,,,,,,,
Burnett ,,,,,,,,,,,,,,,
Calumet ,,,,,,,,,,,,,,,
Chippewa ,,,,,,,,,,,,,,,
Clark ,,,,,,,,,,,,,,,
Columbia ,,,,,,,,,,,,,,,
Crawford ,,,,,,,,,,,,,,,
Dane ,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE
Dodge ,,,,,,,,,,,,,,,
Door ,,,,,,,,,,,,,,,
Douglas ,,,,,,,,,,,,,,,
Dunn ,,,,,,,,,,,,,,,
Eau Claire ,,,,,,,,,,,,,,,
Florence ,,,,,,,,,,,,,,,
Fond du Lac ,,,,,,,,,,,,,,,
Forest ,,,,,,,,,,,,,,,
Grant ,,,,,,,,,,,,,,,
Green ,,,,,,,,,,,,,,,
Green Lake ,,,,,,,,,,,,,,,
Iowa ,,,,,,,,,,,,,,,
Iron ,,,,,,,,,,,,,,,
Jackson ,,,,,,,,,,,,,,,
Jefferson ,,,,,,,,TRUE,,,,,,,TRUE
Juneau ,,,,,,,,,,,,,,,
Kenosha ,,,,,,,,,,,,,,,
Kewaunee ,,,,,,,,,,,,,,,
La Crosse ,,,,,,,,,,,,,,,
Lafayette ,,,,,,,,,,,,,,,
Langlade ,,,,,,,,,,,,,,,
Lincoln ,,,,,,,,,,,,,,,TRUE
Manitowoc ,,,,,,,,,,,,,,,
Marathon ,,,,,,,,,,,,,,,
Marinette ,,,,,,,,,,,,,,,
Marquette ,,,,,,,,,,,,,,,
Menominee ,,,,,,,,,,,,,,,
Milwaukee ,,,,,,,,,,,,,,,
Monroe ,,,,,,,,,,TRUE,,,,,
Oconto ,,,,,,,,,,,,,,,
Oneida ,,,,,,,,,,,,,,,
Outagamie ,,,,,,,,,,,,,,,
Ozaukee ,,,,,,,,,,,,,,,
Pepin ,,,,,,,,,,,,,,,
Pierce ,,,,,,,,,,,,,,,
Polk ,,,,,,,,,,,,,,,
Portage ,,,,,,,,,,,,,,,
Price ,,,,,,,,,,,,,,,
Racine ,,,,,,,,,,,,,,,
Richland ,,,,,,,,,,,,,,,
Rock ,,,,,,,,,,,,,,,
Rusk ,,,,,,,,,,,,,,,
Saint Croix ,,,,,,,,,,,,,,,
Sauk ,,,,,,,,,,,,,,,
Sawyer ,,,,,,,,,,,,,,,
Shawano ,,,,,,,,,,,,,,,
Sheboygan ,,,,,,,,,,,,,,,
Taylor ,,,,,,,,,,,,,,,
Trempealeau ,,,,,,,,,,,,,,,
Vernon ,,,,,,,,,,,,,,,
Vilas ,,,,,,,,,,,,TRUE,,,
Walworth ,,,,,,,,,,,,,,TRUE,
Washburn ,,,,,,,,,,,,,,,
Washington ,,,,,,,,,,,,,,,
Waukesha ,,,,,,,,,,,,,,,
Waupaca ,,,,,,,,,,,,,,,
Waushara ,,,,,,,,,,,,,,,
Winnebago ,,,,,,,,,,,,,,,
Wood ,,,,,,,,,,,,,,,
